City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mataura,-46.1927,168.8643,55.47,72,55,4.94,NZ,1627520301
sarh,9.1429,18.3923,69.91,97,100,3.65,TD,1627520470
sakakah,29.9697,40.2064,84.2,32,0,8.66,SA,1627520470
talnakh,69.4865,88.3972,57.18,78,100,4.34,RU,1627520345
arraial do cabo,-22.9661,-42.0278,64.47,86,100,19.01,BR,1627520279
lebu,-37.6167,-73.65,49.24,79,0,8.01,CL,1627520470
russell,32.3502,-85.1999,85.78,75,83,0.69,US,1627520470
cozumel,20.5083,-86.9458,82.11,83,55,1.01,MX,1627520471
sao filipe,14.8961,-24.4956,74.88,77,100,5.03,CV,1627520471
upernavik,72.7868,-56.1549,46.63,82,100,10.54,GL,1627520471
albany,42.6001,-73.9662,68.92,80,25,2.26,US,1627520412
alice springs,-23.7,133.8833,74.21,21,2,11.99,AU,1627520180
muros,42.7762,-9.0603,64.09,75,4,11.83,ES,1627520472
rikitea,-23.1203,-134.9692,73.81,79,96,14.45,PF,1627520472
sur,22.5667,59.5289,93.58,44,35,15.64,OM,1627520472
tambopata,-12.7333,-69.1833,65.32,46,97,6.67,PE,1627520472
tasiilaq,65.6145,-37.6368,46.56,69,85,5.48,GL,1627520473
hermanus,-34.4187,19.2345,53.91,68,96,23.33,ZA,1627520473
ushuaia,-54.8,-68.3,42.46,81,40,8.05,AR,1627520232
cabo san lucas,22.8909,-109.9124,95.81,63,0,11.1,MX,1627520473
zaraza,9.3503,-65.3245,74.08,95,54,4.52,VE,1627520473
mandera,3.9366,41.867,76.17,51,100,14.63,KE,1627520474
takoradi,4.8845,-1.7554,76.24,82,100,7.63,GH,1627520474
busselton,-33.65,115.3333,57.09,76,40,25.5,AU,1627520474
cap malheureux,-19.9842,57.6142,71.47,72,100,10.0,MU,1627520475
taoudenni,22.6783,-3.9836,99.43,20,1,9.48,ML,1627520475
klaksvik,62.2266,-6.589,54.52,99,100,14.27,FO,1627520475
new norfolk,-42.7826,147.0587,51.71,57,97,8.5,AU,1627520295
orel-izumrud,43.4583,39.9244,68.02,88,20,8.99,RU,1627520475
carnarvon,-24.8667,113.6333,68.07,60,40,5.75,AU,1627520331
vila franca do campo,37.7167,-25.4333,70.21,87,52,7.45,PT,1627520476
faya,18.3851,42.4509,65.93,67,94,6.06,SA,1627520476
hilo,19.7297,-155.09,80.33,83,90,11.5,US,1627520476
dikson,73.5069,80.5464,38.44,96,100,10.58,RU,1627520476
nikolskoye,59.7035,30.7861,64.8,97,100,6.4,RU,1627520186
plettenberg bay,-34.0527,23.3716,51.35,78,99,6.49,ZA,1627520477
puerto ayora,-0.7393,-90.3518,71.46,89,67,7.09,EC,1627520180
vostok,46.4856,135.8833,86.2,54,67,3.11,RU,1627520477
marsa matruh,31.3525,27.2453,77.79,78,0,11.18,EG,1627520477
pemberton,50.3164,-122.8027,90.55,23,9,5.97,CA,1627520407
cotonou,6.3654,2.4183,76.51,82,62,9.66,BJ,1627520478
saveh,35.0213,50.3566,76.17,52,24,6.89,IR,1627520478
yulara,-25.2406,130.9889,58.84,58,0,4.61,AU,1627520310
olinda,-8.0089,-34.8553,74.93,78,75,5.75,BR,1627520478
te anau,-45.4167,167.7167,52.21,71,82,2.28,NZ,1627520478
mehamn,71.0357,27.8492,46.18,93,100,9.73,NO,1627520479
siniscola,40.5719,9.6922,72.95,67,0,3.89,IT,1627520479
coquimbo,-29.9533,-71.3436,49.73,87,20,5.75,CL,1627520359
mar del plata,-38.0023,-57.5575,43.0,59,23,1.99,AR,1627520479
charcas,23.1333,-101.1167,70.21,48,100,15.52,MX,1627520480
yurty,56.0498,97.6348,53.65,95,100,10.31,RU,1627520480
kodiak,57.79,-152.4072,56.55,78,100,6.02,US,1627520386
victoria,22.2855,114.1577,89.26,83,96,1.99,HK,1627520385
marion,39.7684,-86.1555,83.08,76,1,4.61,US,1627520459
mildura,-34.2,142.15,55.08,71,0,10.04,AU,1627520480
tuktoyaktuk,69.4541,-133.0374,53.6,76,75,12.66,CA,1627520299
jacareacanga,-6.2222,-57.7528,77.09,44,0,2.42,BR,1627520481
honolulu,21.3069,-157.8583,80.89,72,75,1.99,US,1627520377
phan thiet,10.9333,108.1,83.16,74,89,13.56,VN,1627520481
sorong,-0.8833,131.25,82.71,78,100,3.65,ID,1627520481
ancud,-41.8697,-73.8203,45.93,91,8,4.88,CL,1627520372
kupang,-10.1667,123.5833,83.53,58,0,11.68,ID,1627520482
bolshaya rechka,51.9503,104.7355,61.07,78,100,3.0,RU,1627520482
saint-pierre,-21.3393,55.4781,69.48,78,90,8.05,RE,1627520482
adiake,5.2863,-3.304,74.79,83,60,4.07,CI,1627520483
batagay-alyta,67.8006,130.4114,55.2,42,65,3.96,RU,1627520215
bazarnyy karabulak,52.2683,46.4144,65.93,59,100,2.62,RU,1627520483
esperance,-33.8667,121.9,58.84,75,76,24.94,AU,1627520483
severo-kurilsk,50.6789,156.125,58.93,89,99,4.32,RU,1627520259
westport,41.1415,-73.3579,74.86,85,0,7.0,US,1627520371
norman wells,65.282,-126.8329,57.69,90,100,7.87,CA,1627520483
dakar,14.6937,-17.4441,78.28,75,100,10.65,SN,1627520484
tuatapere,-46.1333,167.6833,55.81,67,94,6.8,NZ,1627520484
hervey bay,-25.2986,152.8535,66.72,75,97,8.28,AU,1627520484
atar,20.5169,-13.0499,89.35,29,48,8.46,MR,1627520485
luderitz,-26.6481,15.1594,53.62,78,0,15.88,NA,1627520485
airai,-8.9266,125.4092,72.52,33,13,4.0,TL,1627520485
chernyshevsk,52.5243,117.0174,66.18,75,22,3.15,RU,1627520485
ribeira grande,38.5167,-28.7,70.97,86,14,9.46,PT,1627520286
souillac,-20.5167,57.5167,71.37,76,100,22.3,MU,1627520486
nanortalik,60.1432,-45.2371,44.53,90,57,8.63,GL,1627520486
torbay,47.6666,-52.7314,67.75,95,100,8.72,CA,1627520486
clyde river,70.4692,-68.5914,43.77,72,23,4.09,CA,1627520487
vila velha,-20.3297,-40.2925,62.94,89,100,8.55,BR,1627520419
aklavik,68.2191,-135.0107,58.62,83,100,2.84,CA,1627520487
sitka,57.0531,-135.33,64.67,62,25,5.5,US,1627520396
pingliang,35.5392,106.6861,79.39,35,2,3.96,CN,1627520487
port-gentil,-0.7193,8.7815,76.19,80,93,14.94,GA,1627520487
vao,-22.6667,167.4833,70.03,67,100,16.33,NC,1627520488
ponta do sol,32.6667,-17.1,72.23,79,16,6.04,PT,1627520331
camden,39.7835,-74.9663,78.57,81,85,1.01,US,1627520488
tabuk,17.4189,121.4443,84.7,71,100,2.84,PH,1627520488
grindavik,63.8424,-22.4338,52.27,87,0,14.97,IS,1627520489
kungurtug,50.5994,97.5228,55.67,87,96,3.69,RU,1627520489
dingle,10.9995,122.6711,86.07,70,51,15.82,PH,1627520489
san borja,-14.8167,-66.85,57.15,61,100,7.45,BO,1627520489
coihaique,-45.5752,-72.0662,37.27,95,95,4.5,CL,1627520490
sibolga,1.7427,98.7792,78.69,80,100,1.59,ID,1627520296
tiksi,71.6872,128.8694,43.56,76,41,8.81,RU,1627520490
deputatskiy,69.3,139.9,48.67,55,44,8.77,RU,1627520490
yellowknife,62.456,-114.3525,69.3,63,35,8.99,CA,1627520490
saldanha,-33.0117,17.9442,50.05,81,33,11.52,ZA,1627520374
moyobamba,-6.05,-76.9667,64.67,98,26,1.25,PE,1627520491
segezha,63.7415,34.3222,56.37,84,3,5.88,RU,1627520491
port elizabeth,-33.918,25.5701,49.1,81,7,11.39,ZA,1627520491
tabat,-2.635,115.2274,81.72,71,78,2.17,ID,1627520491
gap,44.6667,6.0,47.84,82,0,3.76,FR,1627520492
neuquen,-38.9516,-68.0591,48.29,33,0,6.67,AR,1627520492
bengkulu,-3.8004,102.2655,78.08,78,100,4.27,ID,1627520492
bredasdorp,-34.5322,20.0403,50.63,64,28,13.8,ZA,1627520492
tigil,57.8,158.6667,62.94,49,95,5.53,RU,1627520203
necochea,-38.5473,-58.7368,37.04,76,21,8.46,AR,1627520197
ponta delgada,37.7333,-25.6667,70.52,88,40,12.66,PT,1627520425
kaeo,-35.1,173.7833,66.33,66,91,7.99,NZ,1627520390
faanui,-16.4833,-151.75,78.19,69,42,2.95,PF,1627520286
jieshi,22.8134,115.8257,85.95,78,100,12.91,CN,1627520493
barrow,71.2906,-156.7887,44.94,94,100,12.08,US,1627520303
kokkola,63.8385,23.1307,65.93,86,0,2.3,FI,1627520493
avera,33.194,-82.5271,85.71,61,98,3.67,US,1627520494
caravelas,-17.7125,-39.2481,73.98,88,5,10.67,BR,1627520494
san vicente,-26.6167,-54.1333,33.37,74,6,3.38,AR,1627520494
san quintin,30.4833,-115.95,72.1,76,0,17.13,MX,1627520494
itarema,-2.9248,-39.9167,78.69,84,37,12.12,BR,1627520495
port hardy,50.6996,-127.4199,71.78,64,40,9.22,CA,1627520196
santa rosalia,27.3167,-112.2833,89.51,43,0,2.44,MX,1627520495
castelo do piaui,-5.3222,-41.5525,83.48,38,100,1.83,BR,1627520495
camocim,-2.9022,-40.8411,76.98,87,27,9.28,BR,1627520496
savannah bight,16.45,-85.85,80.01,74,100,23.11,HN,1627520496
meulaboh,4.1363,96.1285,76.89,87,100,3.91,ID,1627520496
bonthe,7.5264,-12.505,77.07,74,100,10.16,SL,1627520496
port-cartier,50.0334,-66.8654,59.94,78,97,5.93,CA,1627520497
tiarei,-17.5333,-149.3333,84.22,77,17,8.41,PF,1627520497
geraldton,-28.7667,114.6,64.13,94,75,14.97,AU,1627520497
rockwall,32.9001,-96.4003,93.56,72,1,3.44,US,1627520355
silver city,32.7701,-108.2803,80.56,30,40,12.66,US,1627520498
korla,41.7597,86.1469,89.91,20,11,12.95,CN,1627520498
vilcun,-38.65,-72.2333,40.51,86,0,2.66,CL,1627520498
timmins,48.4669,-81.3331,66.16,62,100,5.35,CA,1627520498
thompson,55.7435,-97.8558,57.58,51,99,5.59,CA,1627520407
antofagasta,-23.65,-70.4,59.13,60,14,6.17,CL,1627520500
havoysund,70.9963,24.6622,47.28,90,93,7.74,NO,1627520500
prieska,-29.6641,22.7474,44.51,54,0,6.98,ZA,1627520500
san patricio,28.017,-97.5169,86.18,63,4,12.24,US,1627520501
charters towers,-20.1,146.2667,79.88,39,6,7.14,AU,1627520501
carbonear,47.7332,-53.2148,68.61,94,100,8.97,CA,1627520501
pevek,69.7008,170.3133,33.03,96,100,25.52,RU,1627520501
waiouru,-39.4833,175.6667,51.31,61,3,4.99,NZ,1627520502
sioux lookout,50.1001,-91.917,75.58,35,0,10.67,CA,1627520502
namatanai,-3.6667,152.4333,84.72,66,24,2.28,PG,1627520502
fort nelson,58.8053,-122.7002,76.89,29,10,1.25,CA,1627520407
hay river,60.8156,-115.7999,70.92,47,12,3.51,CA,1627520407
rottingdean,50.8098,-0.0594,60.82,81,6,4.0,GB,1627520503
terrasini,38.146,13.0844,85.08,49,0,3.44,IT,1627520503
ternate,0.8,127.4,83.66,73,27,4.54,ID,1627520503
ormara,25.2088,64.6357,81.7,88,97,8.08,PK,1627520504
hithadhoo,-0.6,73.0833,79.2,76,100,3.22,MV,1627520504
gravdal,68.1214,13.5031,50.27,84,5,20.47,NO,1627520504
butaritari,3.0707,172.7902,82.85,71,15,10.18,KI,1627520504
synya,65.3718,58.0387,43.72,99,100,2.95,RU,1627520505
tianpeng,30.9866,103.9393,79.7,59,10,2.17,CN,1627520505
colares,38.7992,-9.4469,66.43,76,0,15.01,PT,1627520269
pangnirtung,66.1451,-65.7125,52.36,57,46,2.77,CA,1627520505
shingu,33.7333,135.9833,83.91,60,0,3.47,JP,1627520506
kaitangata,-46.2817,169.8464,52.93,66,28,6.31,NZ,1627520506
opole lubelskie,51.1478,21.969,68.81,97,100,8.25,PL,1627520506
pudozh,61.8099,36.5345,60.62,93,100,4.12,RU,1627520506
lavrentiya,65.5833,-171.0,44.56,98,100,9.64,RU,1627520507
madaoua,14.073,5.96,81.25,66,100,7.61,NE,1627520507
lagoa,39.05,-27.9833,69.67,89,98,7.18,PT,1627520433
nykoping,58.753,17.0079,61.09,94,0,6.91,SE,1627520507
miraflores,19.2167,-98.8083,64.87,81,100,3.09,MX,1627520508
lake city,30.1897,-82.6393,76.78,94,40,0.0,US,1627520508
qui nhon,13.7667,109.2333,87.04,63,36,14.41,VN,1627520216
rio verde de mato grosso,-18.9181,-54.8442,56.26,24,100,8.5,BR,1627520508
srednekolymsk,67.45,153.6833,38.43,97,100,8.75,RU,1627520508
jiayuguan,39.8167,98.3,80.44,19,0,4.52,CN,1627520509
poirino,44.9208,7.8469,73.18,90,0,0.47,IT,1627520509
norsup,-16.0667,167.3833,80.35,72,48,10.18,VU,1627520509
kruisfontein,-34.0033,24.7314,45.88,89,16,6.4,ZA,1627520338
zonguldak,41.25,31.8333,60.08,67,0,5.21,TR,1627520510
olean,42.0776,-78.4297,67.1,77,1,3.44,US,1627520463
alofi,-19.0595,-169.9187,74.01,72,82,11.16,NU,1627520510
batemans bay,-35.7167,150.1833,62.1,29,0,2.82,AU,1627520411
castro,-24.7911,-50.0119,38.46,62,6,10.11,BR,1627520471
bagotville,-28.9833,153.4167,70.65,47,0,10.54,AU,1627520511
arcata,40.8665,-124.0828,71.2,76,1,4.0,US,1627520511
college,64.8569,-147.8028,62.58,78,90,5.75,US,1627520308
linkoping,58.4109,15.6216,60.78,95,3,4.61,SE,1627520511
karratha,-20.7377,116.8463,69.87,60,1,9.95,AU,1627520512
cerro largo,-28.1486,-54.7381,37.44,70,9,3.85,BR,1627520512
waterloo,43.4668,-80.5164,71.73,71,100,5.01,CA,1627520401
bambanglipuro,-7.95,110.2833,78.62,74,86,4.0,ID,1627520512
tura,25.5198,90.2201,74.03,95,100,7.05,IN,1627520513
talaya,61.3833,152.75,45.12,65,100,10.74,RU,1627520513
lakes entrance,-37.8811,147.981,59.18,53,91,15.88,AU,1627520513
sept-iles,50.2001,-66.3821,60.26,77,89,1.01,CA,1627520513
chokurdakh,70.6333,147.9167,43.57,64,100,9.89,RU,1627520291
luanda,-8.8368,13.2343,69.8,94,75,3.44,AO,1627520514
samarai,-10.6167,150.6667,79.9,85,61,7.92,PG,1627520514
yamethin,20.4333,96.15,75.7,90,100,6.98,MM,1627520514
taksimo,56.3444,114.8794,70.57,69,100,1.16,RU,1627520515
salalah,17.0151,54.0924,76.17,94,98,13.13,OM,1627520515
north platte,41.1239,-100.7654,97.99,39,24,5.99,US,1627520366
birjand,32.8663,59.2211,68.56,18,15,17.49,IR,1627520515
tailai,46.3833,123.4,74.61,79,100,11.16,CN,1627520515
bat khela,34.6167,71.9714,75.74,90,100,1.1,PK,1627520516
longonjo,-12.9067,15.2533,54.77,30,4,0.56,AO,1627520516
tezu,27.9167,96.1667,75.72,97,100,3.06,IN,1627520297
bahadurganj,26.2667,87.8167,79.27,92,100,7.38,IN,1627520516
harper,4.375,-7.7169,76.62,82,100,8.12,LR,1627520517
careiro da varzea,-3.2003,-59.8119,84.81,58,6,1.68,BR,1627520517
sao joao da barra,-21.6403,-41.0511,68.2,82,100,17.18,BR,1627520258
bethel,41.3712,-73.414,72.12,79,0,3.4,US,1627520473
chongoyape,-6.6406,-79.3892,62.08,73,28,1.28,PE,1627520517
cadillac,44.2519,-85.4012,76.91,65,40,4.61,US,1627520483
berlevag,70.8578,29.0864,46.54,94,100,10.49,NO,1627520518
emmett,43.8735,-116.4993,99.48,21,3,8.55,US,1627520518
okha,53.5739,142.9478,67.78,94,98,8.55,RU,1627520518
oksfjord,70.2396,22.3479,50.07,87,50,4.34,NO,1627520518
lexington,37.9887,-84.4777,81.95,54,98,4.74,US,1627520509
tubuala,9.5167,-79.0333,82.33,84,100,9.33,PA,1627520519
chuy,-33.6971,-53.4616,42.15,75,34,15.19,UY,1627520324
rodrigues alves,-7.738,-72.6509,71.44,95,21,2.98,BR,1627520519
lorengau,-2.0226,147.2712,84.72,72,91,6.58,PG,1627520519
hohhot,40.8106,111.6522,75.85,49,1,1.95,CN,1627520520
trairi,-3.2778,-39.2689,78.35,86,73,10.16,BR,1627520384
inirida,3.8653,-67.9239,72.68,94,86,0.43,CO,1627520520
neuchatel,46.9167,6.8333,64.99,91,20,0.0,CH,1627520520
constitucion,-35.3333,-72.4167,49.87,60,0,6.06,CL,1627520221
viedma,-40.8135,-62.9967,44.13,50,0,9.24,AR,1627520521
adrar,20.5022,-10.0711,89.85,30,94,18.99,MR,1627520521
yar-sale,66.8333,70.8333,50.18,76,58,1.59,RU,1627520469
mandalgovi,45.7625,106.2708,69.73,49,9,8.66,MN,1627520521
mogadishu,2.0371,45.3438,75.45,86,100,16.37,SO,1627520522
irapuato,20.6833,-101.35,76.15,46,59,12.46,MX,1627520522
port macquarie,-31.4333,152.9167,64.89,41,3,10.78,AU,1627520510
noyabrsk,63.1994,75.4507,52.5,98,100,3.33,RU,1627520522
homer,59.6425,-151.5483,65.08,68,100,18.01,US,1627520523
leningradskiy,69.3833,178.4167,33.33,100,100,16.49,RU,1627520307
haimen,23.1935,116.6142,86.68,75,100,13.94,CN,1627520523
bereda,43.2686,-7.5406,59.92,100,39,3.09,ES,1627520523
prince rupert,54.3161,-130.3201,58.87,90,100,1.01,CA,1627520523
musoma,-1.5,33.8,69.87,69,100,6.87,TZ,1627520524
kulhudhuffushi,6.6221,73.07,82.38,74,100,14.16,MV,1627520524
sal rei,16.1833,-22.9167,74.5,73,92,8.93,CV,1627520524
acari,-15.4311,-74.6158,65.61,75,23,3.27,PE,1627520526
jalu,29.0331,21.5482,80.15,44,0,10.16,LY,1627520265
mundo nuevo,18.7,-95.5,82.08,77,9,10.85,MX,1627520526
bonavista,48.6499,-53.1147,68.11,97,96,13.15,CA,1627520526
bull savanna,17.8868,-77.5902,77.72,85,96,6.51,JM,1627520527
aden,12.7794,45.0367,81.48,80,96,4.83,YE,1627520228
rudnogorsk,57.2639,103.7519,76.8,41,3,3.89,RU,1627520527
byron bay,-28.65,153.6167,77.05,52,27,14.27,AU,1627520527
pisco,-13.7,-76.2167,62.02,87,7,1.32,PE,1627520528
gubkinskiy,64.434,76.5026,53.2,84,100,7.87,RU,1627520528
barguzin,53.6167,109.6167,72.54,58,35,2.13,RU,1627520528
nabire,-3.3667,135.4833,83.23,79,10,0.65,ID,1627520528
kitimat,54.0524,-128.6534,62.91,83,100,1.01,CA,1627520529
zeya,53.75,127.2667,67.05,93,100,3.04,RU,1627520529
ilulissat,69.2167,-51.1,48.22,71,8,0.0,GL,1627520529
moron,-34.6534,-58.6198,44.98,73,5,4.52,AR,1627520529
kapit,2.0167,112.9333,82.06,77,41,0.4,MY,1627520530
nelson bay,-32.7167,152.15,63.77,53,0,19.95,AU,1627520530
makat,47.6469,53.3463,72.79,36,0,9.42,KZ,1627520530
port keats,-14.25,129.55,85.66,40,83,2.93,AU,1627520530
neryungri,56.6709,124.6491,66.25,64,100,11.25,RU,1627520531
kamiiso,41.8167,140.65,75.81,88,77,8.03,JP,1627520531
hamilton,39.1834,-84.5333,83.75,74,29,2.64,US,1627520531
goderich,43.7501,-81.7165,70.92,74,35,2.98,CA,1627520515
tortoli,39.9256,9.6572,75.81,56,0,5.03,IT,1627520532
hofn,64.2539,-15.2082,53.15,85,100,1.3,IS,1627520532
ostrovnoy,68.0531,39.5131,46.13,75,100,3.87,RU,1627520532
fevik,58.3794,8.6766,59.63,91,100,3.06,NO,1627520532
puerto escondido,15.85,-97.0667,80.87,83,96,2.51,MX,1627520533
san policarpo,12.1791,125.5072,87.46,60,89,5.5,PH,1627520533
boguchany,58.3814,97.4531,61.39,92,79,5.88,RU,1627520533
alta floresta,-9.8756,-56.0861,73.56,49,0,5.03,BR,1627520365
abu samrah,35.3029,37.1841,75.56,46,0,8.16,SY,1627520533
chiredzi,-21.05,31.6667,54.41,66,0,2.89,ZW,1627520534
nemuro,43.3236,145.575,67.98,96,100,10.83,JP,1627520472
verkhoyansk,67.5447,133.385,57.47,43,98,7.52,RU,1627520534
narsaq,60.9167,-46.05,50.22,93,75,2.42,GL,1627520534
karacakoy,41.4029,28.3834,78.84,80,0,2.73,TR,1627520535
khatanga,71.9667,102.5,69.31,61,57,10.85,RU,1627520319
lompoc,34.6391,-120.4579,82.56,80,90,14.97,US,1627520535
acajutla,13.5928,-89.8275,79.48,81,98,4.25,SV,1627520535
ouesso,1.6136,16.0517,73.87,81,100,1.9,CG,1627520535
sinnamary,5.3833,-52.95,77.65,86,100,8.48,GF,1627520317
sumenep,-7.0167,113.8667,82.02,67,24,6.26,ID,1627520536
iqaluit,63.7506,-68.5145,45.7,75,100,11.01,CA,1627520414
san cristobal,7.7669,-72.225,66.13,98,100,4.76,VE,1627520536
beringovskiy,63.05,179.3167,48.16,72,100,16.91,RU,1627520536
cervo,43.6702,-7.4101,63.97,82,26,4.74,ES,1627520536
balsas,-7.5325,-46.0356,78.94,36,0,1.79,BR,1627520337
saint-francois,46.4154,3.9054,64.18,94,90,2.3,FR,1627520537
atbasar,51.8,68.3333,54.03,82,77,10.02,KZ,1627520537
saiha,22.4833,92.9667,71.1,99,100,3.27,IN,1627520537
gat,31.61,34.7642,79.48,85,1,4.79,IL,1627520538
mahebourg,-20.4081,57.7,71.89,68,75,20.71,MU,1627520295
fairbanks,64.8378,-147.7164,62.6,81,90,4.61,US,1627520305
porto santo,33.072,-16.3415,71.51,78,40,12.66,PT,1627520538
tukrah,32.5341,20.5791,77.81,79,0,10.09,LY,1627520538
valenca,-13.3703,-39.0731,69.69,96,8,1.1,BR,1627520539
mount isa,-20.7333,139.5,80.37,24,0,8.05,AU,1627520451
mount pleasant,32.7941,-79.8626,82.18,92,1,0.0,US,1627520248
bowen,-20.0167,148.2333,75.07,66,5,6.44,AU,1627520539
khalkhal,37.6189,48.5258,55.92,93,100,6.67,IR,1627520539
hambantota,6.1241,81.1185,79.14,89,75,6.91,LK,1627520540
taunggyi,20.7833,97.0333,63.36,95,100,4.41,MM,1627520540
voyvozh,62.892,54.9635,43.9,99,100,2.53,RU,1627520540
nowa deba,50.4297,21.7508,68.5,97,100,6.96,PL,1627520540
lata,40.1629,-8.3327,60.82,92,1,1.45,PT,1627520541
inga,-7.2808,-35.6044,68.45,95,1,3.11,BR,1627520541
marathon,44.9,-89.7668,78.33,83,20,1.01,US,1627520541
laguna,38.421,-121.4238,105.44,24,1,5.99,US,1627520541
chunskiy,56.0815,99.6342,55.06,97,100,9.8,RU,1627520542
khasan,42.4308,130.6434,82.06,68,49,2.59,RU,1627520542
namibe,-15.1961,12.1522,62.98,87,5,3.15,AO,1627520455
ekibastuz,51.6667,75.3667,66.72,41,100,7.9,KZ,1627520542
sayansk,54.1088,102.1648,57.79,81,100,13.38,RU,1627520542
barinas,8.6226,-70.2075,73.09,100,100,4.61,VE,1627520543
saint-augustin,51.226,-58.6502,57.18,91,66,8.3,CA,1627520543
swan hill,-35.3378,143.5544,55.38,54,2,11.03,AU,1627520543
ierapetra,35.01,25.7353,82.44,49,0,10.31,GR,1627520543
benguela,-12.5763,13.4055,68.45,86,0,4.56,AO,1627520544
meihekou,42.5272,125.6753,79.9,78,100,3.44,CN,1627520544
kavaratti,10.5669,72.642,82.26,76,100,16.67,IN,1627520544
maldonado,-34.6667,-54.9167,44.22,73,17,16.13,UY,1627520544
shablykino,52.8566,35.1964,61.57,95,10,7.18,RU,1627520545
seoul,37.5683,126.9778,87.19,72,75,4.61,KR,1627520299
valavanur,11.9209,79.5824,82.36,54,100,10.25,IN,1627520545
vizinga,61.0749,50.1031,51.55,72,77,5.35,RU,1627520545
charlestown,-32.95,151.6667,63.68,40,0,3.0,AU,1627520411
giyon,8.5333,37.9833,57.78,99,100,2.68,ET,1627520546
paamiut,61.994,-49.6678,44.58,85,79,2.77,GL,1627520546
vanavara,60.34,102.2797,75.47,51,100,6.22,RU,1627520546
saskylakh,71.9167,114.0833,69.53,38,100,15.97,RU,1627520546
santa rosa,14.3122,121.1114,81.91,92,100,9.62,PH,1627520547
bykovo,55.6361,38.0803,65.55,94,90,2.24,RU,1627520547
ketchikan,55.3422,-131.6461,60.26,77,100,3.76,US,1627520547
qasigiannguit,68.8193,-51.1922,48.45,81,8,5.61,GL,1627520548
newport,51.5877,-2.9984,59.68,81,2,13.02,GB,1627520548
socorro,31.6546,-106.3033,86.16,31,100,22.82,US,1627520548
labuan,5.2767,115.2417,82.56,79,58,6.24,MY,1627520548
yatou,37.15,122.3833,82.63,71,79,15.55,CN,1627520549
kamenka,51.3223,42.7678,68.43,48,100,6.55,RU,1627520549
shimoda,34.6667,138.95,82.51,81,60,10.47,JP,1627520549
moshenskoye,58.5102,34.5911,58.84,99,100,4.72,RU,1627520549
antalaha,-14.9003,50.2788,64.22,89,7,6.67,MG,1627520361
skjervoy,70.0311,20.9714,48.47,80,83,6.55,NO,1627520484
longyearbyen,78.2186,15.6401,42.64,93,90,10.36,SJ,1627520456
yenagoa,4.9247,6.2642,73.45,87,100,3.36,NG,1627520300
saquarema,-22.92,-42.5103,63.32,88,100,13.02,BR,1627520550
bandar-e anzali,37.4727,49.4622,73.58,79,100,12.93,IR,1627520550
gannan,47.9147,123.5031,74.37,79,100,7.31,CN,1627520550
hirara,24.8,125.2833,82.74,78,100,2.26,JP,1627520551
markova,48.6758,24.4138,66.45,67,0,8.05,UA,1627520551
port augusta,-32.5,137.7667,51.71,48,0,10.54,AU,1627520551
jardim,-21.4803,-56.1381,47.89,32,6,5.03,BR,1627520552
dangtu,31.5723,118.4928,81.0,82,31,13.35,CN,1627520552
vestmanna,62.1564,-7.1664,52.72,100,90,12.66,FO,1627520552
dukat,62.55,155.55,37.33,84,100,6.2,RU,1627520382
portland,45.5234,-122.6762,95.56,33,2,1.99,US,1627520431
kota kinabalu,5.9749,116.0724,87.78,74,20,10.36,MY,1627520553
