City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
esperance,-33.8667,121.9,56.08,62,2,17.27,AU,1627438713
fukue,32.6881,128.8419,86.36,70,20,6.91,JP,1627438713
totma,59.9747,42.7642,48.33,82,18,3,RU,1627438714
linxia,35.6003,103.2064,66.88,54,6,1.05,CN,1627438714
mount gambier,-37.8333,140.7667,46.31,87,75,29.93,AU,1627438714
hasaki,35.7333,140.8333,88.29,81,100,20.54,JP,1627438714
college,64.8569,-147.8028,60.75,88,90,4.61,US,1627438715
cabedelo,-6.9811,-34.8339,75.87,85,26,9.57,BR,1627438715
guaymas,27.9333,-110.9,91.89,75,40,13.8,MX,1627438715
castro,-24.7911,-50.0119,47.17,91,100,6.89,BR,1627438716
impfondo,1.6381,18.0667,73.62,73,89,1.88,CG,1627438716
avera,33.194,-82.5271,82.27,65,83,2.89,US,1627438716
los llanos de aridane,28.6585,-17.9182,69.55,85,90,13.8,ES,1627438716
amol,36.4696,52.3507,75.99,91,100,10.63,IR,1627438717
yumen,40.2833,97.2,82.08,17,0,5.46,CN,1627438717
marcona,,,,,,,,
buala,-8.145,159.5921,83.19,74,90,8.88,SB,1627438718
maputo,-25.9653,32.5892,56.88,88,0,4.61,MZ,1627438483
alcantara,-2.4089,-44.4147,80.8,84,21,7.02,BR,1627438718
udachnyy,66.4167,112.4,84.2,40,74,7.78,RU,1627438718
tuta,5.6897,-73.2278,50.63,95,95,3,CO,1627438719
candido mendes,-1.4467,-45.7167,74.84,90,73,3.49,BR,1627438719
torbay,47.6666,-52.7314,66.97,96,90,10.36,CA,1627438719
omboue,-1.5746,9.2618,72.52,85,34,4.76,GA,1627438719
kavieng,-2.5744,150.7967,84.51,71,9,8.23,PG,1627438720
san quintin,30.4833,-115.95,71.11,80,1,13.44,MX,1627438720
hjelset,62.7833,7.4833,67.78,77,75,3.44,NO,1627438720
nirmali,26.3167,86.5833,85.66,75,93,9.44,IN,1627438721
porto nacional,-10.7081,-48.4172,71.6,40,0,1.68,BR,1627438721
marsala,37.7966,12.4352,81.55,64,0,4.61,IT,1627438721
notre-dame-du-lac,47.6136,-68.7964,56.64,72,4,3.98,CA,1627438721
hailey,43.5196,-114.3153,79.9,40,96,2.1,US,1627438722
ngukurr,,,,,,,,
miranorte,,,,,,,,
ullapool,57.8987,-5.1604,58.95,99,100,1.3,GB,1627438723
tahta,26.7693,31.5021,81.46,30,3,10.69,EG,1627438723
grand river south east,,,,,,,,
dunedin,-45.8742,170.5036,52.81,53,34,8.01,NZ,1627438723
piryion,,,,,,,,
chingirlau,51.095,54.0814,65.66,46,7,5.91,KZ,1627438724
graaff-reinet,-32.2522,24.5308,52.48,40,0,8.9,ZA,1627438724
solnechnyy,50.7214,136.6319,82.87,72,44,3.49,RU,1627438724
tumannyy,,,,,,,,
lamar,33.6668,-95.5836,78.78,94,1,0,US,1627438729
la romana,18.4273,-68.9728,82.13,88,20,11.5,DO,1627438729
dingle,10.9995,122.6711,86.5,68,65,17.69,PH,1627438730
imbituba,-28.24,-48.6703,55.29,69,33,16.73,BR,1627438730
bredasdorp,-34.5322,20.0403,52.92,66,100,8.05,ZA,1627438730
ribeira grande,38.5167,-28.7,72.03,85,52,9.28,PT,1627438730
tongliao,43.6125,122.2653,76.44,78,100,3,CN,1627438731
panzhihua,26.5851,101.7128,73.74,88,100,2.59,CN,1627438731
ankazoabo,-22.2833,44.5167,55.69,71,0,5.35,MG,1627438731
